"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"Grenades",NA,"Grenade Explosion Method{\textemdash}A novel tool for optimization of multimodal functions",2010,"Ali Ahrari; Ali A. Atai","Applied Soft Computing",TRUE,"10.1016/j.asoc.2009.11.032",10.1016/j.asoc.2009.11.032,  88
"Group Counselling",NA,"Group Counseling Optimization: A Novel Approach",2009,"M. A. Eita; M. M. Fahmy","Research and Development in Intelligent Systems XXVI",FALSE,"10.1007/978-1-84882-983-1_14",10.1007/978-1-84882-983-1_14,   7
"Group Decision-Making",NA,"Collective decision optimization algorithm: A new heuristic optimization method",2017,"Qingyang Zhang; Ronggui Wang; Juan Yang; Kai Ding; Yongfu Li; Jiangen Hu","Neurocomputing",TRUE,"10.1016/j.neucom.2016.09.068",10.1016/j.neucom.2016.09.068,  27
"Hawks","Harris's Hawk","Harris's Hawk Multi-Objective Optimizer for Reference Point Problems",2016,"A Sandra DeBruyne; B Devinder Kaur","Proceedings on the International Conference on Artificial Intelligence (ICAI)",FALSE,NA,NA,NA
"Heart",NA,"Heart: a novel optimization algorithm for cluster analysis",2014,"Abdolreza Hatamlou","Progress in Artificial Intelligence",TRUE,"10.1007/s13748-014-0046-5",10.1007/s13748-014-0046-5,  20
"Herds","Selfish","A global optimization algorithm inspired in the behavior of selfish herds",2017,"Fernando Fausto; Erik Cuevas; Arturo Valdivia; Adrián González","Biosystems",TRUE,"10.1016/j.biosystems.2017.07.010",10.1016/j.biosystems.2017.07.010,  72
"Hoopoe",NA,"New Hoopoe Heuristic Optimization",2012,"Mohammed El-Dosuky; Ahmed El-Bassiouny; Taher Hamza; Magdy Rashad","International Journal of Science and Advanced Technology",TRUE,NA,NA,NA
"Hormones",NA,"A hormone regulation{\textendash}based approach for distributed and on-line scheduling of machines and automated guided vehicles",2016,"Kun Zheng; Dunbing Tang; Adriana Giret; Miguel A Salido; Zelei Sang","Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",TRUE,"10.1177/0954405416662078",10.1177/0954405416662078,   7
"Horses",NA,"Horse Optimization Algorithm: A Novel Bio-Inspired Algorithm for Solving Global Optimization Problems",2020,"Dorin Moldovan","Advances in Intelligent Systems and Computing",FALSE,"10.1007/978-3-030-51971-1_16",10.1007/978-3-030-51971-1_16,   0
"Humans","Life Choices","A novel life choice-based optimizer",2019,"Abhishek Khatri; Akash Gaba; K. P. S. Rana; Vineet Kumar","Soft Computing",TRUE,"10.1007/s00500-019-04443-z",10.1007/s00500-019-04443-z,   6
"Humans","Hunting","Deer Hunting Optimization Algorithm: A New Nature-Inspired Meta-heuristic Paradigm",2019,"G Brammya; S Praveena; N S Ninu Preetha; R Ramya; B R Rajakumar; D Binu","The Computer Journal",TRUE,"10.1093/comjnl/bxy133",10.1093/comjnl/bxy133,  37
